Mawave Marketing;No;No;Germany;Advertising & Marketing;3042.1;215.6;3362000;107000;45;5;2018
Identity;Yes;No;UK;Advertising & Marketing;2179.7;183.5;122331863;5023843;97;43;2001
ShowHeroes Group;No;No;Germany;Advertising & Marketing;2133.9;181.6;70389000;3151000;330;40;2016
myAppFree;Yes;No;Italy;Advertising & Marketing;1572.9;155.8;16382653;979292;14;4;2015
Infinityn International;No;No;Hungary;Advertising & Marketing;1532.8;153.7;2318145;163297;39;6;2016
Lhub;No;No;Italy;Advertising & Marketing;1438.2;148.7;1545539;100477;14;1;2017
Refinery89;No;No;The Netherlands;Advertising & Marketing;1313.4;141.8;7915000;560000;7;1;2018
Adpone;Yes;Yes;Spain;Advertising & Marketing;906.1;115.9;24774049;2462500;26;9;2015
Spin Up;Yes;No;Italy;Advertising & Marketing;790.0;107.2;7614426;855542;7;2;2017
communicationAds;No;No;Germany;Advertising & Marketing;748.9;104.0;18585035;2189274;19;7;2014
BWGTBLD;No;No;Germany;Advertising & Marketing;703.5;100.3;27421344;3412909;13;4;2013
Obiz;Yes;Yes;France;Advertising & Marketing;601.1;91.4;36934900;5268200;40;27;2010
Billion Dollar Boy;Yes;Yes;UK;Advertising & Marketing;537.8;85.4;20435065;2999811;74;16;2014
Funnel;Yes;Yes;Sweden;Advertising & Marketing;472.9;78.9;16767432;2961552;228;65;2014
Evolution Group;Yes;No;Italy;Advertising & Marketing;428.1;74.1;18193618;3445249;14;3;2016
Storeis;No;No;Italy;Advertising & Marketing;424.3;73.7;2527655;482066;32;7;2018
FLH;No;No;Germany;Advertising & Marketing;415.5;72.7;3806422;738376;45;10;2015
Optima Network;No;No;Spain;Advertising & Marketing;412.3;72.4;6665955;1301135;3;2;2009
Kairos Media;No;No;UK;Advertising & Marketing;359.2;66.2;13791651;2811559;65;14;2015
Fifty Technology;No;No;UK;Advertising & Marketing;342.3;64.1;10208527;2160958;43;12;2015
Chef in Camicia;Yes;No;Italy;Advertising & Marketing;340.1;63.9;3260174;740760;30;7;2015
Delante;Yes;Yes;Poland;Advertising & Marketing;336.0;63.4;3417060;837960;62;46;2015
Seedtag;No;No;Spain;Advertising & Marketing;325.6;62.1;54002631;12690084;232;94;2014
Pirene;Yes;No;Italy;Advertising & Marketing;323.5;61.8;3004158;709392;40;12;1999
Voice;No;No;Italy;Advertising & Marketing;311.1;60.2;8711795;2119000;3;3;2007
Smile Wanted;No;No;France;Advertising & Marketing;279.3;56.0;7070113;1863883;11;na;2016
Milk & Honey Pr;Yes;No;UK;Advertising & Marketing;277.6;55.7;2362477;585737;26;7;2016
Stoyo Media UG;No;No;Germany;Advertising & Marketing;271.7;54.9;17773706;4781884;17;30;2015
RTB House;Yes;Yes;Poland;Advertising & Marketing;249.6;51.8;323396444;98894777;1018;423;2013
Instilla;Yes;Yes;Italy;Advertising & Marketing;247.2;51.4;3201340;922114;45;15;2015
Smarketer;No;No;Germany;Advertising & Marketing;238.5;50.2;19521761;5766621;218;77;2015
Buben & Mädchen;No;No;Germany;Advertising & Marketing;237.6;50.0;21463103;6357208;45;30;2011
Attachment;Yes;Yes;UK;Advertising & Marketing;232.3;49.2;9797568;2760118;8;3;2015
Project Agora;Yes;No;Cyprus;Advertising & Marketing;226.1;48.3;27669439;8483983;147;63;2016
Optad360;No;No;Poland;Advertising & Marketing;221.9;47.7;21054293;6992519;71;39;2014
The Marketing Practice;No;No;UK;Advertising & Marketing;217.0;46.9;52404878;15474421;492;150;2002
SomosSapiens;No;No;Spain;Advertising & Marketing;210.1;45.8;34549297;11141087;29;20;2010
Social & Impact;No;No;Italy;Advertising & Marketing;205.3;45.1;3034239;993717;11;6;2008
Solidsense;No;No;Germany;Advertising & Marketing;200.4;44.3;4215650;1403400;11;5;2016
Soldats Films;No;No;France;Advertising & Marketing;190.1;42.6;3794843;1307992;6;1;2012
Displayce;No;No;France;Advertising & Marketing;185.0;41.8;3704650;1300107;18;12;2014
Secret Key;No;No;Italy;Advertising & Marketing;184.9;41.8;2521161;884917;14;10;2013
MGvision;Yes;No;Italy;Advertising & Marketing;180.5;41.0;3960211;1411615;19;11;2010
Neocamino;No;No;France;Advertising & Marketing;179.2;40.8;2264865;811079;34;17;2012
Operatix;No;No;UK;Advertising & Marketing;177.4;40.5;10351556;3493612;156;44;2012
Tikato;Yes;No;Italy;Advertising & Marketing;176.0;40.3;3018198;1093371;16;8;2013
Zanatta Media Group;Yes;No;Germany;Advertising & Marketing;174.5;40.0;9651512;3516242;14;10;2008
xpose360;No;No;Germany;Advertising & Marketing;169.4;39.1;8183892;3037958;61;31;2009
Calicantus;No;No;Italy;Advertising & Marketing;166.7;38.7;10193843;3821891;23;17;2007
Pomilio Blumm;No;No;Italy;Advertising & Marketing;161.0;37.7;46662868;17878374;55;62;1991
STORMING AG;No;No;Germany;Advertising & Marketing;160.8;37.7;3204325;1228498;53;12;2010
Gummy industries;No;No;Italy;Advertising & Marketing;158.9;37.3;2797167;1080484;33;17;2009
Fill Up Média;Yes;Yes;France;Advertising & Marketing;158.8;37.3;6794313;2625757;41;18;2011
Booster Box;Yes;Yes;Italy;Advertising & Marketing;154.7;36.6;4226576;1659120;50;20;2016
Hopkins;Yes;No;Finland;Advertising & Marketing;153.9;36.4;5183199;2041824;40;20;2009
Arquimea;Yes;Yes;Spain;Aerospace & Defence;1054.1;126.0;115989295;10049954;416;55;2005
Dronehub;No;No;Poland;Aerospace & Defence;703.8;100.3;2522876;335565;24;11;2015
Escadrone;No;No;France;Aerospace & Defence;206.5;45.3;4295816;1401800;10;4;2014
